name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Power Stone,3,8,0,37,17,1999,2,0,26,0,20,2,0,88,6.47,0
Mononoke Hime,2,37,1,34,17,1997,3,0,1,0,133,42149,2468,20894,8.69,1
RahXephon,2,1,0,34,44,2002,1,0,26,0,23,1111,494,4967,7.41,1
Samurai 7,2,11,0,21,40,2004,2,0,26,0,26,2761,561,5388,7.46,1
Scrapped Princess,2,1,0,37,17,2003,2,0,24,0,23,1071,310,3873,7.4,1
s.CRY.ed,2,0,0,34,17,2001,3,0,26,0,24,310,154,2419,7.37,1
Shingetsutan Tsukihime,1,5,0,34,39,2003,4,0,12,0,24,4383,2085,13927,6.87,0
Slam Dunk,2,3,0,37,11,1993,4,0,101,0,23,3000,290,8668,8.53,1
Strange Dawn,3,19,0,17,44,2000,3,0,13,0,23,53,42,581,6.32,0
Tactics,2,12,0,37,11,2004,4,0,25,0,24,578,224,2693,7.21,1
Tenjou Tenge,1,2,0,37,34,2004,2,0,24,0,23,2590,1082,5051,6.9,0
Tokyo Underground,2,8,0,37,34,2002,2,0,26,0,25,178,152,1314,6.61,0
Triangle Heart: Sweet Songs Forever,1,27,2,17,36,2003,3,0,4,0,28,49,52,420,6.14,0
Tsubasa Chronicle,2,17,0,37,34,2005,2,0,26,0,25,2033,651,7718,7.53,1
Ultra Maniac,4,38,0,15,11,2003,2,0,26,0,24,218,93,977,7.16,1
Ultra Maniac OVA,4,38,2,11,36,2002,3,0,1,1,21,29,26,150,6.66,0
Vandread,2,11,0,37,34,2000,4,0,13,0,22,982,358,1501,7.19,1
Vandread: The Second Stage,2,11,0,37,34,2001,4,0,13,0,22,738,203,600,7.41,1
Tenkuu no Escaflowne,2,0,0,17,0,1996,2,0,26,0,24,839,259,3803,7.68,1
Whistle!,4,10,0,37,35,2002,2,0,39,0,24,176,44,430,7.38,1
Xenosaga The Animation,2,3,0,37,34,2005,1,0,12,0,23,94,72,712,6.35,0
Initial D First Stage,2,4,0,22,34,1998,2,0,26,0,25,11277,510,12234,8.3,1
Initial D Second Stage,2,39,0,22,34,1999,4,0,13,0,23,8100,382,3031,8.13,1
Initial D Third Stage,2,12,1,22,34,2001,1,0,1,0,105,6549,523,2058,7.88,1
Gosenzo San'e,5,18,2,11,14,1998,3,0,4,0,30,19,26,209,6.08,0
Love Hina,2,21,0,37,11,2000,2,0,24,0,23,1296,582,3843,7.12,1
Love Hina Again,2,21,2,37,11,2002,1,0,3,0,30,450,163,514,7.23,1
Love Hina Christmas Special: Silent Eve,2,21,3,11,36,2000,4,0,1,0,46,364,134,326,7.33,1
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,2,21,3,17,11,2001,2,0,1,0,46,313,137,327,7.2,1
Maburaho,0,5,0,11,44,2003,4,0,24,0,24,639,426,1353,6.77,0
Macross Zero,0,40,2,37,17,2002,4,0,5,0,30,595,151,1092,7.53,1
Onegai☆Teacher,2,23,0,11,44,2002,1,0,12,0,23,2092,677,3714,7.14,1
Onegai☆Twins,2,23,0,11,44,2003,3,0,12,0,25,770,402,1182,6.84,0
Rizelmine,0,2,0,11,36,2002,2,0,24,0,15,167,142,761,6.53,0
Speed Grapher,0,11,0,34,14,2005,2,0,24,0,23,3073,787,10126,7.33,1
Sen to Chihiro no Kamikakushi,3,37,1,17,44,2001,3,0,1,0,124,84332,3778,14603,8.79,1
Tenshi na Konamaiki,2,29,0,37,11,2002,2,0,50,0,24,599,135,1904,7.46,1
Video Girl Ai,0,15,2,11,44,1992,1,0,6,0,29,537,179,1565,7.21,1
Wolf's Rain,2,1,0,34,17,2003,1,0,26,0,23,8892,1423,18241,7.81,1
Words Worth,5,41,2,17,0,1999,3,0,5,0,28,271,113,721,6.75,0
Yumeria,2,12,0,34,11,2004,1,0,12,0,24,97,145,437,6.09,0
Samurai Champloo,1,42,0,37,34,2004,2,0,26,0,24,34322,1904,31911,8.5,1
Lodoss-tou Senki: Eiyuu Kishi Den,2,18,0,34,17,1998,2,0,27,0,24,159,87,1516,7.13,1
Lodoss-tou Senki,1,2,2,37,34,1990,2,0,13,0,25,698,265,4499,7.38,1
R.O.D: Read or Die,2,12,2,34,17,2001,2,0,3,0,33,510,221,1826,7.65,1
R.O.D: The TV,2,5,0,34,17,2003,3,0,26,0,25,386,157,2636,7.53,1
Ranma ½,0,12,0,37,11,1989,2,0,161,0,24,936,209,2945,7.76,1
Pure Mail,5,43,2,41,-1,2001,3,0,2,0,29,36,26,144,6.24,0
Project A-Ko,0,44,1,34,17,1986,2,0,1,0,84,87,85,629,6.84,0
Pia Carrot e Youkoso!!,5,45,2,11,36,1997,4,0,3,0,27,18,18,139,6.0,0
Pia Carrot e Youkoso!! 2,5,46,2,11,36,1998,4,0,3,0,28,13,18,105,6.12,0
Pia Carrot e Youkoso!! 2 DX,2,47,2,11,36,1999,4,0,6,0,28,16,3,99,6.25,0
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,2,1,1,11,36,2002,4,0,1,0,47,14,36,133,5.9,0
Shin Angel,5,48,2,11,44,1994,4,0,5,0,30,13,29,170,6.23,0
Kidou Senkan Nadesico,2,21,0,37,34,1996,4,0,26,0,23,266,115,1765,7.5,1
Kidou Senkan Nadesico: The Prince of Darkness,1,21,1,37,34,1998,3,0,1,0,79,133,60,571,6.74,0
Kuro no Danshou,5,49,2,39,41,1999,4,0,4,0,31,40,59,214,5.72,0
Mezzo Forte,5,41,2,34,11,2000,2,0,2,0,30,843,554,1649,6.64,0
Mezzo DSA,0,41,0,34,17,2004,1,0,13,0,25,420,235,1632,6.67,0
Dragon Ball,2,3,0,37,17,1986,1,0,153,0,24,5270,602,5743,7.96,1
Dragon Ball GT,2,3,0,37,34,1996,1,0,64,0,24,862,394,1032,6.46,0
Elfen Lied,0,41,0,22,34,2004,3,0,13,0,25,44713,10182,31050,7.52,1
FLCL,2,13,2,34,10,2000,2,0,6,0,25,18278,3276,25423,8.03,1
Jigoku Shoujo,1,12,0,39,14,2005,4,0,26,0,25,6301,1925,20319,7.62,1
Ninin ga Shinobuden,1,33,0,11,28,2004,3,0,12,0,24,168,121,667,6.91,0
Air Master,1,3,0,22,34,2003,2,0,27,0,24,414,209,1513,7.0,1
Asagiri no Miko,3,50,0,22,34,2002,3,0,26,0,12,13,26,248,6.13,0
Cardcaptor Sakura,3,2,0,15,17,1998,2,0,70,0,25,2356,320,7149,8.15,1
Daa! Daa! Daa!,4,5,0,15,11,2000,1,0,78,0,25,110,26,566,7.65,1
Dan Doh!!,4,51,0,37,17,2004,2,0,26,0,24,15,6,139,6.66,0
Detective Conan,2,29,0,37,17,1996,1,1,0,1061,25,1715,193,5777,8.16,1
E's Otherwise,2,8,0,37,17,2003,2,0,26,0,23,119,80,646,6.61,0
Koukyoushihen Eureka Seven,2,1,0,17,44,2005,2,0,50,0,24,4617,835,13732,8.07,1
Rekka no Honoo,2,8,0,37,34,1997,3,0,42,0,23,197,68,1586,7.35,1
Gankutsuou,1,11,0,44,14,2004,4,0,24,0,24,2812,564,14865,8.16,1
Genshiken,2,52,0,11,32,2004,4,0,12,0,25,3355,708,9009,7.65,1
Girls Bravo: First Season,0,53,0,37,11,2004,3,0,11,0,23,524,571,2475,6.41,0
Gokusen,1,2,0,25,11,2004,1,0,13,0,23,1696,304,2268,7.41,1
Gravitation,2,12,0,15,42,2000,4,0,13,0,22,2020,1159,2530,6.97,0
Agatha Christie no Meitantei Poirot to Marple,4,14,0,14,40,2004,3,0,39,0,25,30,10,339,6.87,0
Great Teacher Onizuka,1,8,0,37,11,1999,2,0,43,0,25,46246,1823,32969,8.69,1
Groove Adventure Rave,2,12,0,37,17,2001,4,0,51,0,24,1264,476,4601,7.24,1
Harukanaru Toki no Naka de: Hachiyou Shou,2,54,0,15,0,2004,4,0,26,0,24,350,161,1538,7.03,1
