name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Romeo no Aoi Sora Specials,4,6,3,17,44,2001,1,0,2,0,45,4,0,98,6.3,0
Akage no Anne Specials,4,6,3,44,32,2001,1,0,2,0,45,10,3,142,6.17,0
The iDOLM@STER Cinderella Girls,2,213,0,11,44,2015,1,0,13,13,24,766,277,4599,7.15,1
Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,2,0,3,11,21,2000,1,0,1,0,6,13,1,110,5.52,0
Legend of Basara: Shinbashi Theater,4,87,3,11,-1,2002,3,0,1,1,1,10,2,34,5.73,0
Ninja Slayer From Animation,1,515,4,34,-1,2015,2,0,26,26,12,349,227,3331,6.59,0
Eiyuu Banka Koushi-den,1,413,2,17,44,1996,3,0,1,0,90,17,2,110,6.09,0
Haiyore! Nyaruko-san W: W ni Sayonara/Kono Onsen ni Koi no Konton wo,2,21,2,11,13,2014,2,0,1,0,15,865,326,1116,7.06,1
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",4,47,4,36,32,2013,4,0,1,0,3,4,0,76,5.85,0
Non Non Biyori Repeat,2,378,0,22,11,2015,3,0,12,12,23,6316,692,8025,8.19,1
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,2,579,3,11,47,2014,2,0,13,0,1,54,50,342,6.58,0
Kappa Kawatarou,4,344,1,20,43,1954,2,0,1,0,18,12,2,36,5.44,0
Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,4,55,1,20,11,1983,1,0,1,0,52,2,0,39,6.11,0
Glass no Chikyuu wo Sukue Unico Special,4,107,1,20,0,2000,3,0,1,0,16,11,2,36,5.93,0
Renai Fuyou Gakuha The Animation,5,103,2,41,-1,2014,2,0,1,0,26,106,84,369,6.81,0
Ookami Shoujo to Kuro Ouji,2,404,0,15,11,2014,4,0,12,12,24,12004,4521,8064,7.1,1
Manga Edo Erobanashi,5,26,2,11,41,1989,2,0,5,0,45,4,0,49,4.87,0
Strange+ Special,2,464,3,25,11,2014,2,0,1,1,3,21,60,193,5.57,0
Kara no Kyoukai: Manner Movies,4,33,1,34,11,2007,4,0,7,0,1,273,528,1490,6.4,0
Toradora! Recap,2,5,2,11,36,2009,2,0,1,0,29,3168,789,3121,7.46,1
Gatchaman Crowds: Embrace,2,61,3,17,21,2014,1,0,1,0,23,249,59,914,7.37,1
Kakumei no Wakaki Sora,4,580,2,44,40,2010,1,0,1,0,50,2,0,25,6.27,0
Rennyuu Tales The Animation,5,46,2,41,-1,2014,2,0,1,0,28,38,61,208,6.49,0
Strike Witches: Operation Victory Arrow,0,378,2,34,21,2014,4,0,3,2,28,655,147,1856,7.35,1
KoSys! Kochira Keihime Tetsudou: Kouhou System-ka,2,47,4,11,32,2014,2,1,0,0,20,2,0,71,0.0,0
Kenzen Robo Daimidaler Specials,0,35,3,22,11,2014,3,0,6,0,3,45,81,354,6.13,0
Wakakusa Monogatari: Nan to Jo-sensei Specials,4,6,3,44,32,2001,2,0,2,0,45,2,0,56,6.18,0
Kishin Houkou Demonbane (TV) Specials,2,479,3,21,43,2006,3,0,2,0,6,7,9,113,5.72,0
Nanatsu no Taizai,2,213,0,37,34,2014,4,0,24,24,24,56759,7080,21913,7.7,1
Oira no Ski,4,47,1,11,35,1930,1,0,1,0,9,17,12,25,5.18,0
Konna ni Yasashiku Sareta no,5,581,2,41,-1,2014,2,0,3,16,21,39,64,245,5.78,0
Shingeki no Kyojin Movie 1: Guren no Yumiya,1,532,1,37,34,2014,4,0,1,0,118,4528,886,5583,7.71,1
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,1,532,1,37,34,2015,2,0,1,0,120,4491,849,6148,7.82,1
Blade & Soul Specials,2,11,3,11,-1,2014,2,0,7,0,2,97,136,467,5.78,0
Hi☆sCoool! SeHa Girls,2,29,0,11,4,2014,4,0,13,11,11,35,55,365,6.5,0
Ys IV: The Dawn of Ys,2,47,3,34,17,1993,1,0,1,1,3,11,8,67,5.7,0
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,4,67,1,11,-1,2013,4,0,4,0,2,166,342,1522,6.17,0
Moonrakers,1,8,4,44,21,2014,2,0,1,0,2,48,21,74,5.6,0
Meisou! Underworld,1,8,4,34,43,2014,2,0,1,0,2,66,108,113,5.72,0
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,2,22,0,11,44,2015,2,0,13,13,24,39211,4898,14116,8.24,1
Pokemon XY: Sora no Hahen,3,14,1,20,17,2014,3,0,1,0,25,22,8,324,6.74,0
Puchimas!!: Petit Petit iDOLM@STER - Fuyu→Kotatsu←Haru,2,417,2,11,32,2014,1,0,1,1,12,18,12,291,6.61,0
Gondora,3,77,1,10,-1,1997,4,0,1,0,1,21,91,108,4.12,0
REACH x Thermae Romae: Pietrada no Kekkon,2,351,3,22,11,2014,2,0,1,1,4,24,3,67,5.7,0
Lovely Movie: Itoshi no Muco,3,131,0,32,-1,2013,3,0,20,0,2,3,0,143,6.36,0
Lovely Movie: Itoshi no Muco Season 2,3,131,0,32,-1,2014,2,0,22,26,2,2,0,56,6.16,0
Tuzki: Love Assassin,1,77,4,11,36,2014,1,0,1,0,2,32,22,67,5.68,0
Hoshi no Yuuenchi,4,253,2,20,17,1989,4,0,1,0,17,5,0,24,5.2,0
The Adventures of Hello Kitty & Friends,3,582,0,20,0,2008,1,0,52,0,12,5,2,53,5.99,0
Sora wa Koko ni Aru,4,555,5,5,-1,2014,1,0,1,0,5,11,0,17,5.45,0
Uchuu Senkan Yamato 2199: Tsuioku no Koukai,2,21,3,34,44,2014,4,0,1,1,130,32,7,326,6.73,0
Kyutai Panic Adventure!,4,76,3,37,34,2003,3,0,1,0,8,28,101,487,4.68,0
Kyutai Panic Adventure Returns!,4,76,3,37,34,2004,3,0,1,0,9,40,78,503,4.95,0
Mobile Suit Gundam Unicorn: One of Seventy Two,2,0,3,3,-1,2013,3,0,1,0,0,7,0,215,6.35,0
Majimoji Rurumo,2,5,0,37,11,2014,3,0,12,12,24,1508,641,3085,6.84,0
Fukuyama Gekijou: Natsu no Himitsu,4,123,2,20,0,1990,3,0,1,1,55,11,7,37,6.03,0
Futari Ecchi (2014),0,38,2,22,11,2014,4,0,3,0,26,74,74,410,6.15,0
Sarusuberi: Miss Hokusai,2,15,1,22,44,2015,2,0,1,0,90,991,156,2671,7.19,1
Maken-Ki! Two Specials,0,21,3,13,-1,2014,1,0,5,0,4,265,276,608,6.22,0
Cardfight!! Vanguard Movie: Neon Messiah,2,535,1,37,34,2014,3,0,1,0,72,112,32,494,6.76,0
Lance N' Masques,2,444,0,0,-1,2015,4,0,12,12,24,226,389,1648,5.5,0
Sei Shoujo The Animation,5,477,2,41,-1,2014,3,0,1,1,30,99,98,322,6.68,0
Shijou Saikyou no Deshi Kenichi Specials,0,84,3,37,34,2013,4,0,4,0,2,472,199,692,7.28,1
Denki-gai no Honya-san,2,55,0,22,11,2014,4,0,12,12,23,1583,535,4124,7.2,1
Selector Spread WIXOSS,1,5,0,4,12,2014,4,0,12,12,24,1904,534,3244,7.37,1
Kaseki Dorobou to Kyouryuuseki,4,47,4,20,17,2011,1,0,1,1,6,2,0,23,5.78,0
Kanai,4,47,4,3,-1,2011,1,0,1,1,5,2,0,17,4.95,0
Interior,4,583,4,17,11,2011,1,0,1,0,4,2,0,22,5.41,0
gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,3,127,1,11,0,2014,3,0,1,0,61,7,1,41,6.21,0
Persona 4 the Golden Animation,2,213,0,17,14,2014,3,0,12,12,23,681,384,2899,6.62,0
Be-Bop Kaizokuban,0,3,2,22,11,1991,1,0,3,0,37,21,0,91,5.8,0
Gorillaman,1,5,2,22,11,1992,2,0,2,0,46,21,7,77,6.07,0
Tooryanse,4,584,5,43,5,2014,1,0,1,0,5,20,18,21,5.89,0
Kaette Kita Top wo Nerae! Kagaku Kouza,4,13,3,11,21,2012,1,0,2,0,5,14,23,174,5.57,0
Hashi no Mukou,1,585,4,39,43,2012,3,0,1,0,10,45,66,289,5.88,0
Taimadou Gakuen 35 Shiken Shoutai,1,378,0,34,0,2015,4,0,12,12,23,7381,3726,8928,6.85,0
Nobunaga Concerto,2,76,0,37,11,2014,3,0,10,10,22,1087,227,3860,7.58,1
Tokyo Babylon: Vision,2,2,5,43,5,1992,4,0,1,0,5,17,50,96,5.55,0
Ao Haru Ride OVA,2,15,2,15,36,2014,3,0,2,0,21,2779,538,2185,7.59,1
Detective Conan: The Fugitive Kogorou Mouri,2,29,4,11,14,2014,2,0,1,1,22,25,15,254,6.95,0
Mushibugyou OVA,2,530,2,37,34,2014,3,0,3,2,23,184,72,380,7.06,1
Nozo x Kimi,0,31,2,37,11,2014,3,0,3,2,23,1229,724,2274,6.41,0
Strobe Light,4,555,5,5,-1,2011,3,0,1,0,5,55,37,43,6.12,0
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,3,555,5,5,16,2013,1,0,1,0,3,18,26,22,5.37,0
E no Umakatta Tomodachi,4,555,5,5,-1,2014,2,0,1,0,4,17,69,38,5.57,0
Oosouji,4,555,5,5,-1,2013,4,0,1,0,4,32,67,41,5.42,0
Rakugaki Picasso,4,555,5,5,-1,2014,2,0,1,1,4,32,60,36,5.6,0
Orenchi no Furo Jijou,2,166,0,25,11,2014,4,0,13,13,4,3955,1839,3230,6.98,0
Nisekoi OVA,2,67,2,37,11,2014,4,0,3,3,26,4115,1297,2506,7.38,1
Hitsugi no Chaika: Avenging Battle,1,1,0,34,17,2014,4,0,10,10,23,10000,2272,4940,7.19,1
Mechano: Scientific Attack Force,6,47,2,10,11,1995,3,0,3,0,10,7,7,36,4.99,0
Hitsugi no Chaika OVA,1,1,2,34,17,2015,1,0,1,1,23,2242,644,1727,7.01,1
Paizuri Cheerleader vs. Sakunyuu Ouendan!,5,103,2,41,-1,2014,3,0,1,1,28,64,64,208,6.67,0
Iinari! Saimin Kanojo,5,586,2,41,-1,2015,1,0,2,1,15,141,151,424,6.32,0
Medamayaki no Kimi Itsu Tsubusu?,4,396,3,22,11,2014,3,0,4,0,18,5,0,81,5.99,0
Yowamushi Pedal: Grande Road,2,29,0,37,11,2014,4,0,24,24,23,3395,410,2182,8.09,1
PoPo Loouise,4,413,5,20,5,2008,4,0,1,0,4,9,3,15,5.58,0
Love Colon,5,581,2,41,-1,2014,3,0,2,2,21,55,50,206,6.52,0
Hoka Hoka Oden no Uta,4,47,5,2,5,2012,4,0,1,0,1,20,36,33,5.49,0
Oyome-sama Honey Days♥,5,587,2,41,-1,2014,4,0,2,2,24,17,39,123,5.97,0
Inazuma Eleven: Chou Jigen Dream Match,4,14,1,37,35,2014,2,0,1,0,49,153,44,234,6.91,0
Mokkai Shiyo?,5,497,2,41,-1,2014,3,0,1,1,17,113,132,259,6.39,0
Kitsune to Circus,4,47,1,20,11,1948,1,0,1,0,9,16,2,27,5.16,0
Tonari no Seki-kun Specials,4,55,3,22,11,2014,2,0,2,0,13,732,147,578,7.46,1
Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,2,0,3,44,3,2014,2,0,1,1,25,22,21,319,6.69,0
Bakabon Osomatsu no Karee wo Tazunete Sansenri,2,8,3,11,-1,1991,4,0,1,0,44,5,0,95,6.16,0
Spocon!,5,332,2,41,-1,2014,3,0,2,2,16,110,87,290,6.91,0
World Trigger,2,3,0,37,34,2014,4,0,73,73,23,4900,1297,17696,7.58,1
Kuroko no Basket 3rd Season,2,15,0,37,11,2015,1,0,25,25,24,29627,2566,7324,8.31,1
Maido! Urayasu Tekkin Kazoku,2,12,0,37,11,2014,3,0,25,1,3,9,6,129,6.23,0
Daze,4,47,5,5,-1,2014,2,0,1,0,3,721,218,539,7.21,1
World Fool News,4,56,4,11,32,2013,2,0,6,0,5,3,0,34,5.49,0
Kekkai Sensen,1,1,0,37,34,2015,2,0,12,12,26,18183,4582,26864,7.62,1
Peeping Life: Shinkon-chan Kansai ni Irasshai,4,56,4,11,32,2014,1,0,1,0,5,5,6,58,5.25,0
Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,2,389,2,11,36,2014,4,0,1,0,23,570,331,740,6.72,0
Fetikano!,5,545,2,41,-1,2014,3,0,1,1,24,122,135,242,6.47,0
Madan no Ou to Vanadis,1,40,0,17,0,2014,4,0,13,13,24,8398,3147,8376,7.14,1
Houkago no Ouji-sama,2,70,3,37,11,2014,4,0,5,0,7,34,10,333,6.92,0
Tales of Zestiria: Doushi no Yoake,2,33,3,0,-1,2014,4,0,1,0,44,1479,306,2297,7.39,1
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,2,0,3,34,21,2014,3,0,2,0,26,841,150,588,7.29,1
Hoozuki no Reitetsu OVA,2,12,2,22,11,2015,1,0,4,3,26,1874,153,1890,7.86,1
Mangaka-san to Assistant-san to The Animation Specials,2,31,3,22,11,2014,2,0,6,0,8,1496,547,1682,7.2,1
Yomigaeru Sora Pilot,3,5,3,22,34,2006,4,0,1,0,3,27,20,96,6.07,0
Ane Log: Moyako Neesan no Tomaranai Monologue,2,84,2,37,11,2014,3,0,3,1,23,543,592,1966,6.08,0
Persona 3 the Movie 3: Falling Down,1,213,1,34,0,2015,2,0,1,0,87,1000,228,3190,7.61,1
Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,4,14,1,20,11,2014,4,0,1,0,96,8,5,130,6.9,0
Xiongmao Monogatari TaoTao,3,47,1,20,11,1981,4,0,1,0,86,4,0,32,5.94,0
Tenkuu Senki Shurato Recaps,2,61,3,37,34,1989,4,0,2,0,23,4,0,48,6.26,0
Gundam Build Fighters Try,4,0,0,34,21,2014,4,0,25,25,25,151,52,730,7.21,1
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,2,535,2,37,11,2014,4,0,2,1,30,3807,760,3469,7.43,1
Koufuku Graffiti,2,67,0,22,11,2015,1,0,12,12,24,717,331,3004,6.8,0
LolitA☆Strawberry in Summer,4,47,5,5,-1,2012,3,0,1,0,6,11,1,14,5.18,0
G-On Riders Special,0,67,3,11,21,2003,1,0,1,0,24,8,1,68,5.64,0
Baku Ane: Otouto Shibocchau zo! The Animation,5,464,2,41,-1,2014,3,0,1,1,33,693,365,908,7.38,1
Date A Live Movie: Mayuri Judgment,2,504,1,36,21,2015,3,0,1,0,72,6674,1974,4998,7.35,1
Future Card Buddyfight Recap,3,21,3,4,-1,2014,2,0,1,0,24,6,0,55,6.01,0
Gegege no Kitarou: Kitarou Tanjou-hen,4,3,3,43,-1,1980,1,0,1,0,3,7,0,38,5.82,0
Flanders no Inu Specials,4,6,3,44,32,2000,4,0,2,0,45,11,0,59,6.18,0
Mushishi Zoku Shou: Odoro no Michi,2,82,3,22,17,2014,3,0,1,0,47,4518,187,4309,8.45,1
Gokukoku no Brynhildr: Kara Sawagi,0,41,3,22,11,2014,3,0,1,0,20,1629,811,1718,6.6,0
Ai Tenchi Muyou!,2,359,0,37,11,2014,4,0,50,50,4,116,181,1358,6.16,0
Mushishi Zoku Shou 2nd Season,2,82,0,22,17,2014,4,0,10,10,23,7498,326,12661,8.75,1
High School DxD BorN,0,35,0,34,11,2015,2,0,12,12,24,17192,5719,5435,7.43,1
"Ore, Twintail ni Narimasu.",2,504,0,37,34,2014,4,0,12,12,24,2272,1663,6286,6.46,0
Miss Monochrome The Animation: Soccer-hen,4,524,4,11,32,2014,2,0,1,0,4,104,157,259,6.24,0
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,2,378,3,11,-1,2011,4,0,1,1,3,274,204,647,7.07,1
Yakin Byoutou Specials,5,151,2,41,-1,2003,1,0,2,0,26,24,28,229,5.57,0
Yobai Suru Shichinin no Harame,5,497,2,41,30,2014,4,0,2,2,15,59,67,228,6.56,0
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,1,119,3,34,11,2014,4,0,1,0,23,945,607,1469,6.52,0
Robot Girls Z Specials,2,3,3,11,3,2014,2,0,3,0,9,22,4,181,6.33,0
Gakkougurashi!,1,470,0,39,14,2015,3,0,12,12,24,8605,2285,14747,7.62,1
Norasco,4,393,4,11,32,2013,4,1,0,0,2,4,0,112,0.0,0
Imawa no Kuni no Alice,1,378,2,37,34,2014,4,0,3,2,23,1920,493,4431,7.33,1
3-D Heaven,4,413,5,20,5,1988,4,0,1,0,2,10,0,13,4.44,0
Awate Tokoya,4,413,5,5,-1,1961,2,0,1,0,2,20,4,15,4.89,0
Shoko Nakagawa Prism Tour Special,4,0,3,5,-1,2010,2,0,1,0,2,4,0,35,5.68,0
Bloody Bunny,2,393,0,11,-1,2012,3,0,26,26,1,22,9,192,5.85,0
Kawaii Cook-san,4,393,4,32,5,2011,1,0,1,0,1,2,0,15,4.81,0
Fantasista Stella,2,21,2,37,35,2014,3,0,3,0,23,6,2,72,5.94,0
Isshuukan Friends. Specials,2,84,3,32,16,2014,2,0,12,0,1,267,188,892,6.81,0
Days,4,47,5,5,-1,2014,2,0,1,0,5,489,296,628,6.69,0
Ansatsu Kyoushitsu,2,470,0,37,34,2015,1,0,22,22,23,45001,8042,25056,8.1,1
Mobile Suit Gundam-san,2,0,0,11,3,2014,3,0,13,1,2,48,11,277,6.19,0
Clarinet Kowashichatta,4,413,5,20,5,1963,1,0,1,0,2,22,11,18,4.93,0
Ichigeki Sacchuu!! Hoihoi-san: Legacy,4,421,4,11,21,2012,3,0,1,0,1,25,21,123,4.85,0
Injutsu no Yakata The Animation,5,332,2,41,-1,2014,3,0,1,4,21,78,82,202,6.35,0
Madonna: Kanjuku Body Collection,5,497,2,41,30,2014,3,0,1,1,29,78,70,226,6.52,0
Girlfriend (Kari),2,378,0,32,16,2014,4,0,12,12,24,207,203,2407,5.93,0
Akaoni to Aooni no Tango,4,413,5,20,5,1977,4,0,1,0,2,13,4,18,5.26,0
Aoi Umi to Shounen,4,580,1,32,-1,1983,3,0,1,0,40,4,0,30,5.41,0
Juuou Mujin no Fafnir,2,119,0,0,36,2015,1,0,12,12,24,2363,2297,3986,6.21,0
Sidonia no Kishi: Daikyuu Wakusei Seneki,1,526,0,22,34,2015,2,0,12,12,24,3946,502,4289,7.73,1
Cook no Polka,4,413,5,20,5,1964,3,0,1,0,2,17,3,12,4.97,0
Neko Funjatta,4,413,5,20,5,1966,4,0,1,1,2,15,8,18,5.15,0
Go-hiki no Kobuta to Charleston,4,413,5,20,5,1964,3,0,1,0,2,19,11,21,4.97,0
Kaitou Joker,3,55,0,20,17,2014,4,0,13,13,24,222,76,652,6.89,0
Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson,5,103,2,41,-1,2014,3,0,1,1,27,91,53,188,6.86,0
Bokura wa Minna Kawai-sou: Hajimete no,2,84,3,22,11,2015,1,0,1,0,23,2112,313,1541,7.66,1
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC,2,524,1,22,34,2015,1,0,1,0,105,821,185,1593,7.42,1
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,2,524,1,22,34,2015,4,0,1,0,105,980,164,2190,7.86,1
Recorder to Randoseru Mi☆ Special,2,464,3,22,11,2013,4,0,1,0,3,123,107,161,6.39,0
Ane Kyun!: Joshi ga Ie ni Kita!,5,497,2,41,-1,2014,3,0,1,1,25,203,177,439,6.59,0
Bokura wa Minna Kawai-sou Specials,2,84,3,22,11,2014,3,0,14,0,0,380,162,1157,7.14,1
Ghibli ga Ippai Special Short Short,4,37,3,32,-1,2005,4,0,10,10,1,34,113,446,5.73,0
Kana Kana Kazoku,4,351,4,11,-1,2014,3,1,0,0,2,2,0,46,0.0,0
Furueru Kuchibiru Episode 0,5,497,2,41,-1,2014,2,0,1,0,24,185,124,250,6.66,0
Agukaru: Play with Ibaraki-hen,4,463,4,32,43,2014,2,0,20,0,7,1,0,34,5.47,0
No Game No Life Specials,2,2,3,0,13,2014,2,0,6,0,3,5429,2897,5829,6.75,0
Moonfesta,4,413,5,20,5,2012,2,0,1,0,2,17,1,18,5.78,0
Love Live! The School Idol Movie,2,0,1,32,5,2015,2,0,1,0,102,2569,476,3028,7.93,1
Akai Jitensha,4,47,5,20,5,1999,2,0,1,0,2,11,1,8,5.15,0
Fate/kaleid liner Prisma☆Illya 2wei! Specials,2,378,3,11,0,2014,3,0,5,0,5,961,597,2203,6.85,0
Akatsuki no Yona,2,8,0,15,34,2014,4,0,24,24,24,14657,2190,20819,8.03,1
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,2,25,1,34,0,2015,1,0,1,1,82,6132,1048,8180,7.72,1
"Little Polar Bear: Shirokuma-kun, Fune ni Noru",3,15,2,20,17,1991,4,0,1,0,26,20,4,67,5.96,0
Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,4,159,3,15,36,1984,1,0,1,0,70,6,0,36,5.95,0
Mijikamon,4,380,4,11,-1,2014,3,0,12,1,2,604,409,1226,6.8,0
Sushi Ninja,4,178,4,34,11,2014,3,0,3,0,4,6,1,35,5.11,0
Furifure The Animation,5,477,2,41,-1,2014,3,0,1,1,27,64,84,291,6.2,0
Shin Dousei Jidai: Hawaiian Breeze,2,436,2,44,36,1992,3,0,1,1,41,20,6,82,6.18,0
Tom Sawyer no Bouken Specials,4,6,3,17,44,2001,1,0,2,0,45,0,0,56,6.23,0
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,2,12,2,14,5,2014,3,0,1,0,23,32,14,268,6.01,0
Ie Naki Ko Remy Specials (2001),4,6,3,17,44,2001,3,0,2,0,45,2,0,76,6.46,0
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",2,378,0,11,36,2015,4,0,12,12,23,6733,3886,7851,6.74,0
Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,4,33,3,5,-1,2014,2,0,1,0,2,21,31,105,6.03,0
Ryuugajou Nanana no Maizoukin: Nanana Nippon Mukashibanashi,2,213,3,11,-1,2014,2,0,6,0,5,117,74,697,6.54,0
"Kono Danshi, Sekka ni Nayandemasu.",2,56,2,42,44,2014,4,0,1,0,27,1212,476,1918,6.9,0
Lu Ling,4,400,1,20,-1,1982,1,0,1,0,20,12,3,33,6.11,0
Trinity Seven,2,530,0,37,34,2014,4,0,12,12,24,16327,6469,15238,7.1,1
Inou-Battle wa Nichijou-kei no Naka de,2,515,0,11,36,2014,4,0,12,12,24,5022,2161,9360,7.1,1
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,2,3,3,37,17,2014,3,0,1,0,107,1828,248,1651,7.89,1
Tamayura: More Aggressive Picture Drama,4,404,3,11,44,2013,4,0,1,0,18,23,9,216,6.1,0
Xiao Kedou Zhao Mama,4,400,1,20,-1,1960,1,0,1,0,15,15,5,38,5.42,0
Gangsta.,1,42,0,22,34,2015,3,0,12,12,24,18272,3446,19670,7.4,1
AkaKill! Gekijou,2,563,4,11,-1,2014,3,0,24,55,1,1304,808,1846,6.54,0
Persona 4 the Animation: Mr. Experiment Shorts,2,69,3,11,-1,2013,2,0,5,5,2,34,37,1119,5.9,0
Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami,2,69,3,16,-1,2013,2,0,1,1,1,70,76,1007,6.35,0
Megumi to Taiyou: Kajuu Gummi Tweet Love Story,4,2,3,36,32,2011,2,0,1,0,3,35,84,296,5.01,0
Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo,4,2,3,14,-1,2012,1,0,1,0,6,43,20,225,4.97,0
Shinano Mainichi Shinbun,4,56,3,32,-1,2007,3,0,1,0,1,182,377,193,5.43,0
Kuusen Madoushi Kouhosei no Kyoukan,2,119,0,34,44,2015,3,0,12,12,23,4972,3443,5614,6.35,0
Seireitsukai no Blade Dance Specials,2,35,3,34,0,2014,4,0,6,0,3,799,563,1121,6.65,0
Yomiuri Shimbun,4,37,3,40,-1,2009,3,0,1,0,0,37,23,97,4.45,0
Futago no Mahoutsukai Lico to Gli,4,47,4,5,-1,2013,4,0,4,0,1,6,0,81,5.4,0
Haikyuu!!: Lev Genzan!,2,15,2,37,35,2015,1,0,1,0,24,5472,975,2691,7.73,1
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,2,0,3,37,34,2015,2,0,1,0,24,1393,186,2409,8.11,1
Diamond no Ace OVA,2,15,2,37,11,2014,4,0,3,3,23,308,81,423,7.59,1
Rance 01: Hikari wo Motomete The Animation,5,464,2,0,41,2014,4,0,4,4,29,1065,330,1510,7.6,1
Gensei Shugoshin P-hyoro Ikka OVA,2,172,2,15,17,1988,3,0,3,0,30,6,3,61,5.34,0
Pokemon XY: Koukoku no Princess Diancie,3,14,3,20,11,2014,3,0,1,0,5,26,39,266,6.25,0
Moon Pride,2,3,5,36,43,2014,3,0,1,0,3,352,241,489,6.85,0
TOTO Green Challenge,4,588,4,32,-1,2011,4,0,1,0,4,2,0,12,4.98,0
Doraemon Movie 35: Nobita no Space Heroes,3,55,1,11,26,2015,1,0,1,1,100,4,0,72,7.0,1
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",2,3,1,37,34,2015,2,0,1,0,107,391,136,557,7.07,1
Master of Torque 2,4,577,4,34,21,2015,1,0,1,0,23,5,20,76,5.06,0
Absolute Duo,1,448,0,34,36,2015,1,0,12,12,24,11801,8161,9999,6.47,0
Isuca,0,41,0,22,34,2015,1,0,10,10,23,1940,2080,4172,6.0,0
Chain Chronicle: Short Animation,2,589,2,37,34,2014,3,0,8,0,5,159,180,1937,5.95,0
Brothers Conflict OVA,2,84,2,15,36,2014,4,0,2,0,22,770,407,1120,6.57,0
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,2,464,3,11,32,2014,4,0,1,0,3,36,29,121,5.63,0
Shin Strange+ Special,2,464,3,25,11,2014,4,0,1,0,3,12,5,181,5.73,0
Avengers Confidential: Black Widow to Punisher,2,2,1,22,34,2014,1,0,1,0,82,78,100,424,6.29,0
Tatamp,4,553,1,5,-1,2011,1,0,1,0,5,11,4,31,5.35,0
Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,4,2,3,0,-1,2012,2,0,1,0,4,41,19,225,5.01,0
fake!fake!,4,47,5,5,-1,2014,2,0,1,0,3,42,32,42,6.23,0
Magic Kaito 1412,2,213,0,37,17,2014,4,0,24,24,24,2470,374,4509,7.86,1
Yuuki Yuuna wa Yuusha de Aru,2,444,0,44,0,2014,4,0,12,12,24,1048,418,6622,7.38,1
Many Mary,4,47,5,5,-1,2013,2,0,1,0,2,10,0,9,4.82,0
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,1,33,1,34,0,2017,4,0,1,1,120,9918,1212,13801,8.21,1
Moom,4,590,1,20,-1,2016,1,0,1,0,13,4,0,50,6.3,0
M3: Sono Kuroki Hagane Recap,2,40,4,34,3,2014,3,0,1,0,24,37,25,276,6.11,0
Tanu no Magical Holiday,4,47,5,20,5,2014,2,0,1,0,1,8,3,11,5.39,0
Psychedelic Afternoon,4,47,5,5,-1,2013,1,0,1,0,4,15,31,43,5.16,0
DRAMAtical Murder: Data_xx_Transitory,1,550,3,42,44,2014,4,0,1,0,24,942,723,1411,6.06,0
Tokyo Juushouden: Fuuma Gogyou Denshou,0,31,2,37,34,2001,3,0,3,0,25,7,1,74,5.28,0
Space☆Dandy Picture Drama,2,1,3,11,21,2014,3,0,2,0,5,106,125,520,6.15,0
Toilet no Kamisama,4,47,5,5,-1,2010,4,0,1,0,9,17,5,30,5.8,0
